original_variant,canonical_name
Aleksandar De Majo,Aleksandar De Majo
Amanda Quick,Amanda Quick
Anders Roslund & Börge Hellström,Anders Roslund and Börge Hellström
Andy MekNab,Andy Mek Nab
Borislava Pekića,Borislava Pekić
Branko Ćopić,Branko Ćopić
Caroline Graham,Caroline Graham
Charlie Fletcher,Charlie Fletcher
Chris Ryan,Chris Ryan
Clive Cussler,Clive Cussler
Daniel Quinn,Daniel Quinn
Danilo Kiš,Danilo Kiš
David Morrell,David Morrell
Deborah Lawrenson,Deborah Lawrenson
Elizabeth Hand,Elizabeth Hand
F. Scott Fitzgerald,F. Scott Fitzgerald
F.M. Dostojevski,Fyodor Dostoevsky
Frank Herbert,Frank Herbert
Fred Vargas,Fred Vargas
Frederick Forsyth,Frederick Forsyth
James Patterson,James Patterson
Jane Feather,Jane Feather
Jens Lapidus,Jens Lapidus
Joakim Zander,Joakim Zander
John Twelve Hawks,John Twelve Hawks
John le Carré,John le Carré
K L O D D AV I D,K. L. Doddavid
MILOVAN VITEZOVIĆ,Milovan Vitezović
Marko Škorić,Marko Škorić
Martin Cruz Smith,Martin Cruz Smith
Mary Higgins Clark,Mary Higgins Clark
Mia Couto,Mia Couto
Miodrag Šoć,Miodrag Šoc
NORA ROBERTS,Nora Roberts
Per Petterson,Per Petterson
ROBIN COOK,Robin Cook
Robert Ludlum,Robert Ludlum
Robert Mlinarec,Robert Mlinarec
Roberto Kostantini,Roberto Kostantini
Roger Zelazny,Roger Zelazny
Suzanne Collins,Suzanne Collins
Taylor Stevens,Taylor Stevens
Vl. Ćorović,Vlado Ćorović
Vuk Stefanović Karadžić,Vuk Stefanović Karadžić
William Golding,William Golding
dr Dejan Razić,Dr. Dejan Razić
null,null
