from,to
Halil Džubran,Kahlil Gibran
Simak Kliford,Clifford Simak
Paulo Koeljo,Paulo Coelho
Isak Asimov,Isaac Asimov
Karlos Ruis Safon,Carlos Ruiz Zafon
Pol Oster,Paul Auster
Pol Anderson,Poul Anderson
Paul Anderson,Poul Anderson
Klajv Barker,Clive Barker
Barker Klajv,Clive Barker
Lari Niven,Larry Niven
Niven Lari,Larry Niven
Džulijan Barns,Julian Barnes
Džejms Bliš,James Blish
Ijan Renkin,Ian Rankin
Erlend Lu,Erlend Loe
Džoe Haldemen,Joe Haldeman
Bob Šo,Bob Shaw
Šo Bob,Bob Shaw
Lori R. King,Laurie R. King
Kate Roberts,Keith Roberts
Kejt Roberts,Keith Roberts
Piter F. Hamilton,Peter F. Hamilton
Piter V. Hamilton,Peter F. Hamilton
file:Maurice Leblanc-Tri oka,Maurice Leblanc
file:SMRT MEGAPOLISA - Vaka Roberto,Roberto Vacca
Dzejmi Oliver.pdf,Jamie Oliver
file:Nensi Holder-Opsednutost,Nancy Holder
file:OTKRIVENI RAMA - Klark Artur,Arthur Clarke
file:RAMA II - Klark Artur,Arthur Clarke
